,Carrier,Origin City,Destination City,Month,Aircraft,Seats,Passengers,Distance,Departures Performed,Departures Scheduled
21,Envoy Air,"Montgomery, AL","Charlotte, NC",5,675,50,34,372,1,1
22,American Airlines Inc.,"Birmingham, AL","Charlotte, NC",6,694,150,127,350,1,1
23,Envoy Air,"Montgomery, AL","Charlotte, NC",6,675,50,34,372,1,1
24,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",7,631,63,38,526,1,1
25,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",8,638,76,32,372,1,1
26,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",8,638,76,45,526,1,1
27,ExpressJet Airlines Inc.,"Huntsville, AL","Greensboro/High Point, NC",9,631,65,42,399,1,1
28,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",9,638,76,3,372,1,1
29,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",1,631,65,20,372,1,1
30,Envoy Air,"Montgomery, AL","Charlotte, NC",4,675,50,16,372,1,1
31,Envoy Air,"Montgomery, AL","Charlotte, NC",4,676,44,44,372,1,1
32,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",1,638,152,44,372,2,2
33,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",2,629,100,53,333,2,2
34,ExpressJet Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,631,130,109,333,2,2
35,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",9,638,152,58,526,2,2
36,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",4,638,152,90,372,2,2
37,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",3,629,150,112,333,3,3
38,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",6,638,228,112,372,3,3
39,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",9,631,193,141,526,3,3
40,PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,629,150,143,350,3,3
41,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",2,638,304,217,526,4,4
42,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",8,638,304,200,333,4,4
43,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,629,200,91,333,4,4
44,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,638,304,184,333,4,4
45,Piedmont Airlines,"Montgomery, AL","Charlotte, NC",7,675,200,181,372,4,4
46,Envoy Air,"Montgomery, AL","Charlotte, NC",2,675,200,83,372,4,4
47,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",5,631,258,113,372,4,4
48,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",5,629,200,104,526,4,4
49,Envoy Air,"Montgomery, AL","Charlotte, NC",6,676,176,144,372,4,4
50,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",3,638,380,279,526,5,5
51,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",7,638,380,206,333,5,5
52,Air Wisconsin Airlines Corp,"Birmingham, AL","Charlotte, NC",1,629,200,175,350,4,6
53,PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,638,456,265,333,6,6
54,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",7,638,456,208,526,6,6
55,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",6,638,532,406,526,7,7
56,PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",10,629,350,187,372,7,7
57,PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,638,532,311,526,7,7
58,Envoy Air,"Montgomery, AL","Charlotte, NC",3,675,350,215,372,7,7
